预告,#genre#
2024年,http://tang.serv00.net/music/play?&token=52182ad1
台灣頻道,#genre#
民視,https://tang.serv00.net/zb/99.php?id=26&token=52182ad1
民視,https://tang.serv00.net/zb/99.php?id=336&token=52182ad1
民視,https://tang.serv00.net/zb/99.php?id=2805&token=52182ad1
台視,https://tang.serv00.net/zb/99.php?id=326&token=52182ad1
台視,https://tang.serv00.net/zb/99.php?id=312&token=52182ad1
中視,https://tang.serv00.net/zb/99.php?id=333&token=52182ad1
中視,https://tang.serv00.net/zb/99.php?id=1041&token=52182ad1
華視,https://tang.serv00.net/zb/99.php?id=32&token=52182ad1
華視,https://tang.serv00.net/zb/99.php?id=2282&token=52182ad1
公視,https://tang.serv00.net/zb/99.php?id=86&token=52182ad1
公視,https://tang.serv00.net/zb/99.php?id=28&token=52182ad1
好消息,https://tang.serv00.net/zb/99.php?id=104&token=52182ad1
客家電視,https://tang.serv00.net/zb/99.php?id=76&token=52182ad1
緯來綜合,https://tang.serv00.net/zb/99.php?id=2726&token=52182ad1
八大第一,https://tang.serv00.net/zb/99.php?id=318&token=52182ad1
八大綜合,https://tang.serv00.net/zb/99.php?id=2286&token=52182ad1
三立臺灣,https://tang.serv00.net/zb/99.php?id=35&token=52182ad1
三立臺灣,https://tang.serv00.net/zb/99.php?id=21&token=52182ad1
三立臺灣,https://tang.serv00.net/zb/99.php?id=2436&token=52182ad1
三立都會,https://tang.serv00.net/zb/99.php?id=2435&token=52182ad1
三立都會,https://tang.serv00.net/zb/99.php?id=1001&token=52182ad1
三立都會,https://tang.serv00.net/zb/99.php?id=38&token=52182ad1
華藝綜合,https://tang.serv00.net/zb/99.php?id=342&token=52182ad1
東森綜合,https://tang.serv00.net/zb/99.php?id=372&token=52182ad1
東森超視,https://tang.serv00.net/zb/99.php?id=80&token=52182ad1
東森購物2,https://tang.serv00.net/zb/99.php?id=1156&token=52182ad1
中天綜合,https://tang.serv00.net/zb/99.php?id=54&token=52182ad1
中天綜合,https://tang.serv00.net/zb/99.php?id=3072&token=52182ad1
中天娛樂,https://tang.serv00.net/zb/99.php?id=324&token=52182ad1
TVBS歡樂,https://tang.serv00.net/zb/99.php?id=40&token=52182ad1
JET綜合,https://tang.serv00.net/zb/99.php?id=41&token=52182ad1
東森購物1,https://tang.serv00.net/zb/99.php?id=1155&token=52182ad1
TVBS,https://tang.serv00.net/zb/99.php?id=2273&token=52182ad1
TVBS,https://tang.serv00.net/zb/99.php?id=16&token=52182ad1
緯來育樂,https://tang.serv00.net/zb/99.php?id=338&token=52182ad1
緯來育樂（測試）,https://tang.serv00.net/zb/99.php?id=2772&token=52182ad1
緯來日本,https://tang.serv00.net/zb/99.php?id=337&token=52182ad1
緯來日本,https://tang.serv00.net/zb/99.php?id=46&token=52182ad1
國興衛視,https://tang.serv00.net/zb/99.php?id=65&token=52182ad1
信大電視,https://tang.serv00.net/zb/99.php?id=422&token=52182ad1
八大娱乐,https://tang.serv00.net/zb/99.php?id=105&token=52182ad1
公視3台,https://tang.serv00.net/zb/99.php?id=1340&token=52182ad1
好消息2,https://tang.serv00.net/zb/99.php?id=363&token=52182ad1
高點綜合,https://tang.serv00.net/zb/99.php?id=99&token=52182ad1
中天亞洲,https://tang.serv00.net/zb/99.php?id=2277&token=52182ad1
中天亞洲,https://tang.serv00.net/zb/99.php?id=322&token=52182ad1
民視綜藝,https://tang.serv00.net/zb/99.php?id=98&token=52182ad1
民視第一台,https://tang.serv00.net/zb/99.php?id=34&token=52182ad1
民視台灣,https://tang.serv00.net/zb/99.php?id=36&token=52182ad1
龍華日韓,https://tang.serv00.net/zb/99.php?id=382&token=52182ad1
豬哥亮歌廳秀,https://tang.serv00.net/zb/99.php?id=75&token=52182ad1
豬哥會社,https://tang.serv00.net/zb/99.php?id=103&token=52182ad1
ELTA娛樂台,https://tang.serv00.net/zb/99.php?id=351&token=52182ad1
韓國娛樂,https://tang.serv00.net/zb/99.php?id=73&token=52182ad1
靖天國際,https://tang.serv00.net/zb/99.php?id=345&token=52182ad1
靖天育樂,https://tang.serv00.net/zb/99.php?id=1029&token=52182ad1
靖天日本,https://tang.serv00.net/zb/99.php?id=108&token=52182ad1
靖天歡樂,https://tang.serv00.net/zb/99.php?id=51&token=52182ad1
三立綜合,https://tang.serv00.net/zb/99.php?id=315&token=52182ad1
三立綜合,https://tang.serv00.net/zb/99.php?id=2815&token=52182ad1
靖天資訊,https://tang.serv00.net/zb/99.php?id=49&token=52182ad1
靖天綜合,https://tang.serv00.net/zb/99.php?id=308&token=52182ad1
中視經典,https://tang.serv00.net/zb/99.php?id=185&token=52182ad1
中視菁采,https://tang.serv00.net/zb/99.php?id=74&token=52182ad1
TVBS精采,https://tang.serv00.net/zb/99.php?id=66&token=52182ad1
TVBS精采,https://tang.serv00.net/zb/99.php?id=117&token=52182ad1
年代much,https://tang.serv00.net/zb/99.php?id=1359&token=52182ad1
ELTA綜合,https://tang.serv00.net/zb/99.php?id=1137&token=52182ad1
TVN台湾版,https://tang.serv00.net/zb/99.php?id=2288&token=52182ad1
